Tempo	C1	C2	C3	C4	C5
0	-1,447912905	2,6760898	-4,4186597	-1,5845897	6,4963393
0,02	5,72008183	0,2920241	6,1420803	2,149489	2,015445
0,04	12,5467438	-3,020774	4,619725	4,993133	-2,3792782
0,06	8,825111845	-5,7686725	-3,5952475	5,519734	-7,501668
0,08	1,27174107	-6,5825105	-2,8771553	-1,1154363	-7,1186857
0,1	-7,19552125	-6,410168	-1,1633091	-6,1612296	-4,1888704
0,12	-12,53573255	-5,232497	0,5505372	-5,328243	-2,149489
0,14	-8,7810688	-4,198445	2,321831	-0,014361841	-0,8760723
0,16	-3,63905103	-3,4707782	2,101616	1,9579976	-0,05266008
0,18	-2,3397831	-2,475024	3,6335456	0,19627848	-0,110107444
0,2	-1,051526121	-1,4888442	-0,014361841	-2,6856642	-1,1058618
0,22	0,644128524	-0,78032666	-2,714388	-1,2877784	-2,3792782
0,24	0,622107036	-0,081383765	-1,4409714	0,0718092	-3,0494976
0,26	-0,798278975	0,18670394	1,2494801	0,3877697	-3,173967
0,28	-2,16361138	0,49308985	2,3984275	-1,5750152	-2,9633265
0,3	-3,96937335	-0,54096264	1,6899099	-2,8580062	-3,4133308
0,32	-6,865199275	-1,1058618	0,014361841	-2,494173	-3,930357
0,34	-8,4287249	-3,3558834	-0,45479164	-1,3643749	-3,5952475
0,36	-6,05040415	2,8963046	-0,49308985	-1,4505459	-4,131423
0,38	-3,308728595	-3,451629	-0,19627848	-1,5941644	-5,452712
0,4	-5,14752305	-10,737869	0,2154276	-1,383524	-5,5580325
0,42	-5,31268375	-13,121935	0,665432	-1,0962871	-3,7963133
0,44	-2,38382626	-5,7112255	1,2303311	-1,1728836	-2,5037475
0,46	-1,73419218	1,5750152	1,0962871	-1,2207564	-1,4313968
0,48	-3,947351885	5,644203	0,33032233	-1,2207564	-0,64628285
0,5	-6,3476941	5,787822	0,110107444	-1,2590547	-1,9771467
0,52	-8,2745743	4,0356774	0,3877697	-1,4601204	-4,543129
0,54	-5,89625378	-0,6750065	0,77075213	-1,622888	-6,3622956
0,56	6,36971545	-3,6622694	1,4122477	-1,4122477	-2,0920415
0,58	0,963440146	-3,4707782	1,4505459	-0,8952214	1,4792696
0,6	-10,81805575	-1,8909757	0,9526688	-1,1728836	-9,177217
0,62	-10,48773435	-0,5792609	0,6558574	-1,6037389	-13,610238
0,64	-2,78021309	0,5505372	0,9526688	-1,1728836	-3,8154624
0,66	-0,743225278	0,91437054	1,3548003	-0,46436617	3,9686553
0,68	-0,060559092	0,6079846	1,469695	-0,61755913	4,887813
0,7	2,62606249	0,27287498	1,1345854	-0,2154276	5,1367517
0,72	2,44989054	0,23457673	0,512239	0,12925656	3,1356685
0,74	3,132556875	0,359046	0,71330476	0,751603	0,9526688
0,76	2,55999798	0,47394073	1,1824582	0,71330476	1,9388485
0,78	-1,491955835	0,25372586	0,64628285	-1,5367169	1,3643749
0,8	-5,72008183	0,18670394	-0,13883112	-3,2601378	-2,5228968
0,82	-6,75509195	0,20585304	0,18670394	-2,3697038	-6,678256
0,84	-4,70709306	-0,023936402	0,4356425	-1,3165021	-6,8027253
0,86	-2,73616993	-0,3877697	-2,3792782	-1,622888	-2,5707695
0,88	-0,842321985	-0,46436617	-4,504831	-1,3069274	0,0718092
0,9	1,02950461	-0,18670394	-2,752686	-0,64628285	1,0292653
0,92	1,778235225	0,09095833	-2,4845984	-0,16755481	1,0101161
0,94	0,69918229	0,15798025	-3,2984362	-1,2207564	0,4164934
0,96	-0,732214499	-0,023936402	-3,1069448	-3,059072	-0,043085523
0,98	-2,174622055	-0,14840569	0,27287498	-3,2409887	-0,39734426
1	-3,46287908	0,09095833	4,811217	-0,10053288	-1,2782038
