Tempo	DP1	DP2	DP3	DP4	DP5
0	3,8494522	-2,0058703	-2,1111906	6,2378263	5,4431376
0,02	3,74413171	-4,389936	-5,041006	4,7537694	5,3952646
0,04	2,16432942	-9,397431	-5,739949	-7,7984796	1,8048047
0,06	1,016339577	3,039923	1,2303311	-7,501668	3,518651
0,08	1,47974827	10,977234	4,2463174	4,6005764	-2,5899186
0,1	1,26910806	-0,09095833	4,504831	4,150572	-6,7740016
0,12	0,942615476	-7,8846507	1,3165021	-2,867581	4,6005764
0,14	1,03740362	-2,0633178	-3,059072	-5,787822	2,4367256
0,16	1,04793568	1,7665064	-2,321831	-1,1920328	-3,2218397
0,18	1,11112771	-2,2452345	-1,948423	1,8431029	-0,13883112
0,2	0,784635236	-1,9771467	-3,4229054	1,469695	2,9250283
0,22	-0,026330042	0,5792609	-2,5516202	-0,13883112	0,33032233
0,24	-0,510802787	-2,88673	-2,0728924	-1,3260766	-1,9005502
0,26	-0,205374334	-6,3527207	-1,1633091	-1,9867213	0,56011176
0,28	0,510802787	-2,494173	-0,63670826	-2,0728924	2,0441687
0,3	0,247502387	0,7324539	-0,91437054	-1,8239537	1,9196993
0,32	0,468674745	-1,2207564	-1,0962871	-1,2303311	1,9388485
0,34	-0,026330042	-2,972901	-1,7569319	-0,6079846	0,8473486
0,36	-1,079531684	-2,714388	-1,8718265	-1,0196906	0,47394073
0,38	-0,942615476	-2,168638	-0,69415563	-1,9101248	0,98139244
0,4	2,11166923	-1,622888	-0,47394073	-2,034594	0,46436617
0,42	1,85890089	-1,8048047	-1,6420372	-1,79523	0,2441513
0,44	0,47920675	-1,948423	-1,8431029	-1,6994845	0,76117754
0,46	0,510802787	-1,5941644	-1,6803354	-1,6707608	1,2303311
0,48	0,416014654	-1,3356512	-1,709059	-1,5271424	0,665432
0,5	-0,47920675	-1,9196993	-1,4888442	-1,948423	0,023936402
0,52	-1,90102902	-1,9962958	-1,4026731	-2,88673	0,56968635
0,54	-1,73251672	-2,2069361	-1,6994845	-3,4420545	0,8473486
0,56	-0,3949506	-2,800559	-2,1590633	-2,2931073	0,46436617
0,58	-0,279098446	-2,494173	-1,8239537	-4,131423	0,023936402
0,6	-0,64771905	-2,1973617	-1,3930986	-5,3378177	-0,3111732
0,62	-0,81623124	-2,4558747	-1,5079932	-3,0877957	-0,93351966
0,64	-1,090063744	-2,101616	-1,2686293	-0,15798025	-0,30159867
0,66	-0,95314747	-1,5750152	-0,64628285	0,39734426	-0,32074776
0,68	-0,363354563	-1,2303311	-0,16755481	-2,4367256	-0,16755481
0,7	0,036862056	-1,2207564	-2,2165108	-4,715471	0,5218136
0,72	-1,11112771	-2,7909844	-2,513322	-4,5718527	-1,0867126
0,74	-2,11166923	-2,2739582	0,45479164	-1,6611862	-2,0824668
0,76	-1,10059576	1,1728836	1,6516117	0,6271337	-1,9962958
0,78	-0,42654667	1,3643749	1,8718265	0,665432	-1,3356512
0,8	-1,67985664	-1,5367169	1,6037389	-0,34947145	-0,26330042
0,82	-1,56400442	-3,5090764	-0,12925656	-1,2877784	1,9771467
0,84	-0,521334803	-3,8346114	-0,8760723	-2,3888528	3,2505634
0,86	-0,3949506	-4,389936	-1,0388398	-3,4803526	4,351638
0,88	-0,63718699	-3,9207826	-2,752686	-0,76117754	2,5228968
0,9	-0,700379086	-2,6856642	-5,7303743	5,2037735	3,758015
0,92	-0,700379086	-0,16755481	-6,544212	7,5399666	5,586756
0,94	-0,774103187	-0,59841	-2,8963046	3,126094	2,5324712
0,96	-0,60559092	-1,5175679	-0,4356425	4,7537694	0,16755481
0,98	-0,37388659	-3,1548176	0,081383765	7,8272033	-1,2016073
1	-0,447610702	-3,1835413	-1,2782038	8,363379	-0,85692316
1,02	-0,868891386	-2,254809	-2,0728924	2,168638	-0,03351096
1,04	-1,18485191	-1,9196993	-3,212265	-4,5144053	0,8281995
1,06	-1,05846763	-0,7994758	-3,825037	-8,784659	1,9388485
1,08	-1,43762014	0,8090504	-3,1643922	-6,2952733	2,034594
1,1	-1,92209292	1,1058618	-2,2835326	-0,56011176	1,2590547
1,12	-1,27964001	0,39734426	-1,5271424	1,3930986	-0,27287498
1,14	0,005266008	-0,16755481	-1,2590547	0,6558574	-2,4175766
1,16	0,489738777	-0,8473486	-1,0867126	-1,9579976	-2,0633178
1,18	1,16378779	-1,1920328	-0,7324539	-3,8729098	-1,4409714
1,2	2,25911741	-0,7324539	-0,39734426	-2,2739582	-1,5750152
1,22	2,53294987	-0,12925656	-0,0718092	0,25372586	2,8484318
1,24	0,79516723	-0,5218136	0,014361841	-0,56968635	5,0505805
1,26	-0,23697036	-1,1058618	-0,12925656	-1,4984187	3,2505634
1,28	-1,38496017	-2,0058703	-0,46436617	-2,0058703	2,015445
1,3	-1,19538386	-0,90479594	-0,64628285	-1,9196993	-1,7856555
1,32	-1,27964001	2,1782124	-0,512239	-1,6037389	0,28244954
1,34	-1,73251672	-0,7324539	0,043085523	-1,5750152	10,134672
1,36	-0,405482627	-1,469695	0,40691882	-1,4888442	-2,360129
1,38	0,131650211	-0,83777404	-0,00478728	-2,475024	-7,156984
1,4	0,58452691	-13,610238	-0,46436617	-3,3750327	2,360129
1,42	1,11112771	-5,079304	-0,7420284	-2,9441774	3,2218397
1,44	1,57453648	14,012369	-1,5654407	0,16755481	0,751603
